ns "trace A [ADC]" "trace B [ADC]"
30875 -1864.4414893617022 -1882.9946808510638
30876 -1864.345744680851 -1882.8989361702127
30877 -1864.4148936170213 -1882.8031914893618
30878 -1864.2074468085107 -1882.9148936170213
30880 -1864.0531914893618 -1882.7925531914893
30881 -1864.1489361702127 -1882.627659574468
30882 -1864.6808510638298 -1882.6489361702127
30883 -1864.2287234042553 -1882.9414893617022
30885 -1864.090425531915 -1882.7393617021276
30886 -1864.0851063829787 -1882.3936170212767
30887 -1864.3989361702127 -1881.9893617021276
30888 -1864.2446808510638 -1882.095744680851
30890 -1864.4468085106382 -1882.0212765957447
30891 -1863.9893617021276 -1882.0212765957447
30892 -1864.1489361702127 -1881.686170212766
30893 -1863.9946808510638 -1881.6063829787233
30895 -1864.1914893617022 -1881.5425531914893
30896 -1863.9468085106382 -1881.4468085106382
30897 -1863.7606382978724 -1881.5
30898 -1864.122340425532 -1881.5106382978724
30900 -1864.090425531915 -1881.6648936170213
30901 -1863.8031914893618 -1881.909574468085
30902 -1864.026595744681 -1881.622340425532
30903 -1864.0 -1881.8085106382978
30905 -1864.1329787234042 -1881.973404255319
30906 -1864.0585106382978 -1881.8563829787233
30907 -1864.031914893617 -1881.8829787234042
30908 -1863.813829787234 -1882.3510638297873
30910 -1863.8085106382978 -1882.1010638297873
30911 -1863.962765957447 -1882.2712765957447
30912 -1864.159574468085 -1882.409574468085
30913 -1864.0851063829787 -1882.531914893617
30915 -1863.9574468085107 -1882.409574468085
30916 -1863.9308510638298 -1882.3670212765958
30917 -1864.3031914893618 -1882.3670212765958
30918 -1864.127659574468 -1882.372340425532
30920 -1864.2074468085107 -1882.409574468085
30921 -1863.845744680851 -1882.3244680851064
30922 -1864.1436170212767 -1882.2074468085107
30923 -1864.127659574468 -1882.031914893617
30925 -1864.1117021276596 -1882.1914893617022
30926 -1864.063829787234 -1882.0478723404256
30927 -1864.090425531915 -1881.6648936170213
30928 -1863.7393617021276 -1881.8936170212767
30930 -1863.8297872340424 -1881.7074468085107
30931 -1863.9787234042553 -1881.968085106383
