ns "trace A [ADC]" "trace B [ADC]"
30875 -1863.6806282722514 -1881.780104712042
30876 -1864.1989528795812 -1881.7015706806283
30877 -1863.8115183246073 -1881.764397905759
30878 -1863.9424083769634 -1881.8952879581152
30880 -1863.6753926701572 -1881.8219895287957
30881 -1864.2565445026178 -1881.7225130890051
30882 -1863.9057591623036 -1882.3560209424083
30883 -1864.2408376963351 -1882.2984293193717
30885 -1864.083769633508 -1882.0994764397906
30886 -1864.2670157068062 -1882.1465968586388
30887 -1863.9005235602094 -1882.2303664921467
30888 -1864.1989528795812 -1882.3769633507854
30890 -1863.8586387434555 -1882.3350785340315
30891 -1864.0366492146597 -1882.125654450262
30892 -1864.2774869109949 -1882.2670157068062
30893 -1864.0785340314137 -1882.3193717277486
30895 -1863.9633507853403 -1882.0890052356021
30896 -1864.3664921465968 -1881.9109947643979
30897 -1863.628272251309 -1882.1623036649214
30898 -1864.0785340314137 -1881.7696335078533
30900 -1863.738219895288 -1881.9371727748692
30901 -1863.958115183246 -1881.9371727748692
30902 -1863.7225130890051 -1881.544502617801
30903 -1864.0209424083769 -1881.4083769633507
30905 -1863.5916230366493 -1881.4816753926702
30906 -1863.6439790575917 -1881.4502617801047
30907 -1863.6858638743456 -1881.3507853403141
30908 -1863.9842931937173 -1881.0628272251308
30910 -1863.6701570680627 -1881.371727748691
30911 -1864.3089005235602 -1881.1047120418848
30912 -1864.0052356020942 -1881.4502617801047
30913 -1864.4188481675392 -1881.0366492146597
30915 -1864.1361256544503 -1881.5968586387435
30916 -1864.392670157068 -1881.4293193717278
30917 -1864.1832460732985 -1881.497382198953
30918 -1864.261780104712 -1881.4240837696334
30920 -1863.9528795811518 -1881.8952879581152
30921 -1864.4188481675392 -1881.869109947644
30922 -1864.1570680628272 -1881.6701570680627
30923 -1864.2565445026178 -1881.8219895287957
30925 -1863.9842931937173 -1881.8848167539268
30926 -1864.0575916230366 -1881.9109947643979
30927 -1863.5340314136126 -1882.413612565445
30928 -1863.7853403141362 -1881.9895287958116
30930 -1863.5916230366493 -1881.916230366492
30931 -1863.8848167539268 -1881.8586387434555
30932 -1863.5078534031413 -1882.0104712041884
30933 -1863.502617801047 -1882.1884816753927
30935 -1863.2722513089004 -1881.848167539267
30936 -1863.7015706806283 -1881.607329842932
30937 -1863.2774869109949 -1881.6858638743456
30938 -1863.7696335078533 -1881.455497382199
30940 -1863.4293193717278 -1881.6125654450261
30941 -1863.544502617801 -1881.434554973822
30942 -1863.413612565445 -1881.392670157068
30943 -1863.5130890052355 -1881.2303664921467
