ns "trace A [ADC]" "trace B [ADC]"
30875 -1863.9786096256685 -1882.9197860962568
30876 -1864.3796791443851 -1882.7860962566845
30877 -1864.0160427807486 -1882.5882352941176
30878 -1864.5882352941176 -1882.5347593582887
30880 -1864.331550802139 -1882.7860962566845
30881 -1864.6363636363637 -1882.7486631016043
30882 -1864.3582887700534 -1882.6791443850268
30883 -1864.673796791444 -1882.7540106951872
30885 -1864.3101604278074 -1882.673796791444
30886 -1865.0053475935829 -1882.9304812834225
30887 -1864.2566844919786 -1883.0588235294117
30888 -1864.4919786096257 -1882.7914438502673
30890 -1864.1711229946525 -1882.9358288770054
30891 -1864.48128342246 -1882.7967914438502
30892 -1864.331550802139 -1883.0053475935829
30893 -1864.4973262032086 -1883.1069518716577
30895 -1863.8288770053475 -1882.7486631016043
30896 -1864.4385026737968 -1882.6844919786097
30897 -1864.0748663101604 -1882.7967914438502
30898 -1864.5080213903743 -1883.0695187165775
30900 -1864.0 -1882.7754010695187
30901 -1864.5454545454545 -1883.0160427807486
30902 -1864.048128342246 -1882.7058823529412
30903 -1864.4866310160428 -1882.331550802139
30905 -1864.1336898395723 -1882.609625668449
30906 -1864.5454545454545 -1882.326203208556
30907 -1863.9732620320856 -1882.090909090909
30908 -1864.4705882352941 -1882.4010695187167
30910 -1864.0160427807486 -1882.1550802139038
30911 -1864.48128342246 -1882.144385026738
30912 -1863.9786096256685 -1882.096256684492
30913 -1864.2513368983957 -1881.8449197860962
30915 -1864.048128342246 -1881.9786096256685
30916 -1864.4652406417113 -1881.9304812834225
30917 -1863.625668449198 -1881.9839572192514
30918 -1864.4545454545455 -1882.096256684492
30920 -1863.8930481283423 -1881.7326203208556
30921 -1864.2727272727273 -1881.9786096256685
30922 -1864.0053475935829 -1881.7967914438502
30923 -1864.1550802139038 -1882.1336898395723
30925 -1863.6310160427809 -1882.1711229946525
30926 -1864.2566844919786 -1882.2780748663101
30927 -1863.850267379679 -1882.2032085561498
30928 -1864.1550802139038 -1882.5508021390374
30930 -1863.9839572192514 -1882.3582887700534
30931 -1864.572192513369 -1882.2085561497327
30932 -1864.1016042780748 -1882.614973262032
30933 -1864.2941176470588 -1882.3529411764705
30935 -1864.149732620321 -1882.4117647058824
30936 -1864.6898395721926 -1882.6203208556149
