ns "trace A [ADC]" "trace B [ADC]"
30875 -1864.3678756476684 -1882.720207253886
30876 -1864.4974093264248 -1882.8652849740934
30877 -1864.1243523316061 -1882.80310880829
30878 -1864.238341968912 -1882.9119170984457
30880 -1864.19689119171 -1882.658031088083
30881 -1864.3782383419689 -1882.6839378238342
30882 -1864.1347150259066 -1882.7305699481865
30883 -1864.2435233160622 -1882.8186528497408
30885 -1863.937823834197 -1882.6217616580311
30886 -1864.2435233160622 -1882.5440414507773
30887 -1864.3108808290156 -1882.3886010362694
30888 -1864.4715025906735 -1882.3782383419689
30890 -1864.2901554404145 -1882.1088082901554
30891 -1864.2227979274612 -1882.1295336787564
30892 -1864.0466321243523 -1882.0932642487046
30893 -1863.9637305699482 -1881.8290155440413
30895 -1864.0 -1882.0051813471503
30896 -1864.0984455958549 -1881.9067357512954
30897 -1863.937823834197 -1881.6165803108809
30898 -1864.160621761658 -1881.7461139896373
30900 -1863.860103626943 -1882.1347150259066
30901 -1863.8808290155441 -1881.8290155440413
30902 -1864.0051813471503 -1881.7875647668393
30903 -1864.0880829015543 -1882.0259067357513
30905 -1863.9896373056995 -1881.7512953367875
30906 -1864.259067357513 -1882.1191709844559
30907 -1864.1347150259066 -1882.1450777202072
30908 -1864.217616580311 -1882.1554404145077
30910 -1863.9844559585492 -1882.062176165803
30911 -1864.321243523316 -1882.2020725388602
30912 -1864.0051813471503 -1882.1709844559587
30913 -1864.3316062176166 -1882.3626943005181
30915 -1864.3626943005181 -1882.7564766839378
30916 -1864.0984455958549 -1882.7046632124352
30917 -1864.2901554404145 -1882.4974093264248
30918 -1864.518134715026 -1882.461139896373
30920 -1864.1088082901554 -1882.259067357513
30921 -1864.5233160621763 -1882.5077720207255
30922 -1864.1191709844559 -1882.3160621761658
30923 -1864.160621761658 -1882.041450777202
30925 -1864.0777202072538 -1882.139896373057
30926 -1864.4145077720207 -1882.19689119171
30927 -1864.3160621761658 -1881.9430051813472
30928 -1864.39896373057 -1881.7512953367875
30930 -1863.958549222798 -1881.8549222797928
30931 -1863.8704663212436 -1881.6891191709844
30932 -1863.9274611398964 -1881.4300518134714
30933 -1864.1554404145077 -1881.4145077720207
30935 -1863.9481865284974 -1881.4922279792745
30936 -1864.279792746114 -1881.4093264248704
30937 -1863.8186528497408 -1881.559585492228
30938 -1864.1709844559587 -1881.6632124352332
30940 -1864.2072538860104 -1881.5906735751296
30941 -1864.3264248704663 -1881.4041450777202
30942 -1864.2279792746115 -1881.4715025906735
30943 -1864.4974093264248 -1881.4507772020725
30945 -1864.3886010362694 -1881.9844559585492
30946 -1864.60103626943 -1881.6321243523316
30947 -1864.4041450777202 -1881.5854922279793
30948 -1864.3264248704663 -1881.699481865285
30950 -1864.2020725388602 -1881.8134715025906
30951 -1864.419689119171 -1882.0569948186528
30952 -1864.0932642487046 -1882.0880829015543
30953 -1864.217616580311 -1882.0518134715026
30955 -1864.0259067357513 -1882.103626943005
30956 -1864.0880829015543 -1882.3471502590673
30957 -1864.1347150259066 -1882.2538860103627
30958 -1864.1865284974094 -1882.1917098445597
30960 -1863.9481865284974 -1882.4352331606217
30961 -1863.5492227979275 -1882.5129533678758
30962 -1863.4974093264248 -1882.2849740932643
30963 -1863.6321243523316 -1882.2746113989638
30965 -1863.9119170984457 -1881.9067357512954
30966 -1864.2279792746115 -1881.7979274611398
30967 -1863.6891191709844 -1881.7564766839378
30968 -1864.020725388601 -1881.6424870466321
30970 -1863.80310880829 -1881.4352331606217
30971 -1864.103626943005 -1881.6217616580311
30972 -1863.7668393782383 -1881.3678756476684
30973 -1863.896373056995 -1881.3730569948186
30975 -1863.8186528497408 -1881.481865284974
30976 -1863.9948186528497 -1881.2849740932643
30977 -1863.8549222797928 -1881.4248704663212
30978 -1864.0466321243523 -1881.19689119171
30980 -1863.9533678756477 -1881.461139896373
30981 -1863.8134715025906 -1881.5284974093265
30982 -1863.7357512953367 -1881.60103626943
30983 -1864.0 -1881.6891191709844
30985 -1863.7305699481865 -1881.6321243523316
30986 -1864.041450777202 -1881.860103626943
30987 -1863.9119170984457 -1881.5958549222798
30988 -1864.0725388601036 -1881.7150259067357
30990 -1863.896373056995 -1881.917098445596
30991 -1864.041450777202 -1881.979274611399
30992 -1863.8704663212436 -1881.9637305699482
30993 -1864.041450777202 -1881.9533678756477
30995 -1864.1450777202072 -1881.7668393782383
30996 -1864.2279792746115 -1881.8445595854923
30997 -1864.0362694300518 -1882.3108808290156
30998 -1864.2331606217617 -1882.3471502590673
31000 -1864.0880829015543 -1881.9326424870467
31001 -1864.2953367875648 -1882.1502590673574
31002 -1864.0932642487046 -1882.0259067357513
31003 -1864.440414507772 -1882.0932642487046
31005 -1864.082901554404 -1882.1139896373056
31006 -1864.3160621761658 -1882.1295336787564
31007 -1864.4352331606217 -1881.896373056995
31008 -1864.5699481865286 -1881.8445595854923
31010 -1864.1088082901554 -1882.1813471502592
31011 -1864.3678756476684 -1881.9740932642487
31012 -1864.1813471502592 -1881.8756476683939
31013 -1864.2072538860104 -1882.103626943005
31015 -1864.0103626943005 -1882.279792746114
31016 -1864.1243523316061 -1881.9896373056995
31017 -1863.9637305699482 -1882.0310880829015
31018 -1864.1347150259066 -1882.0569948186528
31020 -1864.2642487046633 -1882.1450777202072
31021 -1864.279792746114 -1882.0932642487046
