ns "trace A [ADC]" "trace B [ADC]"
31385 -1803.494623655914 -1812.763440860215
31386 -1804.1505376344087 -1812.725806451613
31387 -1802.9569892473119 -1812.8118279569892
31388 -1801.8763440860216 -1813.02688172043
31390 -1802.483870967742 -1812.731182795699
31391 -1801.8010752688172 -1812.9354838709678
31392 -1802.0483870967741 -1813.510752688172
31393 -1801.9569892473119 -1813.1344086021506
31395 -1800.9623655913979 -1812.9086021505377
31396 -1801.3924731182797 -1813.0591397849462
31397 -1802.3010752688172 -1813.5591397849462
31398 -1801.8010752688172 -1813.231182795699
31400 -1803.483870967742 -1813.4516129032259
31401 -1805.3279569892472 -1813.8118279569892
31402 -1805.5 -1814.284946236559
31403 -1804.279569892473 -1814.2956989247311
31405 -1804.4032258064517 -1814.3333333333333
31406 -1804.3655913978494 -1814.241935483871
31407 -1803.989247311828 -1814.3763440860216
31408 -1802.258064516129 -1814.258064516129
31410 -1801.1505376344087 -1814.274193548387
31411 -1800.3978494623657 -1814.241935483871
31412 -1800.236559139785 -1813.731182795699
31413 -1800.6774193548388 -1813.1021505376343
31415 -1801.1720430107528 -1812.7903225806451
31416 -1800.5430107526881 -1812.9516129032259
31417 -1800.3978494623657 -1813.3763440860216
31418 -1801.3172043010752 -1813.5698924731182
31420 -1803.0645161290322 -1813.4354838709678
31421 -1803.02688172043 -1813.494623655914
31422 -1802.8279569892472 -1813.6236559139784
31423 -1801.8763440860216 -1813.9193548387098
31425 -1801.3924731182797 -1813.8172043010752
31426 -1801.532258064516 -1813.736559139785
31427 -1802.47311827957 -1814.0483870967741
31428 -1802.9569892473119 -1814.284946236559
31430 -1802.6774193548388 -1814.3118279569892
31431 -1802.220430107527 -1814.5483870967741
31432 -1802.52688172043 -1814.3709677419354
31433 -1802.725806451613 -1814.1827956989248
31435 -1803.0860215053763 -1814.0483870967741
31436 -1802.736559139785 -1813.9462365591398
31437 -1802.758064516129 -1814.231182795699
31438 -1802.6505376344087 -1814.1720430107528
31440 -1802.52688172043 -1814.5698924731182
31441 -1801.8118279569892 -1815.010752688172
31442 -1801.4032258064517 -1815.225806451613
31443 -1800.1344086021506 -1815.4032258064517
31445 -1800.215053763441 -1815.5537634408602
31446 -1801.4193548387098 -1815.6612903225807
31447 -1802.731182795699 -1815.8817204301076
31448 -1802.994623655914 -1816.768817204301
31450 -1803.9086021505377 -1816.9301075268818
31451 -1803.6559139784947 -1817.236559139785
31452 -1804.1021505376343 -1817.3172043010752
31453 -1804.247311827957 -1817.7043010752689
31455 -1804.3548387096773 -1818.1612903225807
31456 -1805.1129032258063 -1818.8763440860216
31457 -1805.5 -1819.6236559139784
31458 -1804.284946236559 -1819.6881720430108
31460 -1803.284946236559 -1820.3440860215053
31461 -1803.4516129032259 -1820.9086021505377
31462 -1803.978494623656 -1821.3817204301076
31463 -1803.8225806451612 -1822.032258064516
31465 -1804.279569892473 -1822.9569892473119
31466 -1805.241935483871 -1823.252688172043
31467 -1806.231182795699 -1823.4139784946237
31468 -1806.6666666666667 -1824.4354838709678
31470 -1806.9301075268818 -1824.8870967741937
31471 -1807.3279569892472 -1825.3548387096773
31472 -1807.8064516129032 -1825.6075268817203
31473 -1807.6559139784947 -1825.8010752688172
31475 -1807.779569892473 -1825.9086021505377
31476 -1807.0806451612902 -1826.6344086021506
31477 -1808.215053763441 -1826.774193548387
31478 -1809.4354838709678 -1826.6827956989248
31480 -1809.6505376344087 -1826.9086021505377
31481 -1809.9569892473119 -1827.247311827957
31482 -1810.6774193548388 -1828.02688172043
31483 -1810.4569892473119 -1828.5860215053763
31485 -1810.6451612903227 -1828.9032258064517
31486 -1811.8655913978494 -1829.4032258064517
31487 -1813.5 -1829.768817204301
31488 -1812.9086021505377 -1830.258064516129
31490 -1813.6612903225807 -1831.1236559139784
31491 -1815.1075268817203 -1831.9301075268818
31492 -1815.6451612903227 -1832.5698924731182
31493 -1815.8655913978494 -1833.252688172043
31495 -1816.6397849462367 -1833.3655913978494
31496 -1817.1935483870968 -1833.483870967742
31497 -1817.784946236559 -1834.3440860215053
31498 -1819.02688172043 -1835.1612903225807
31500 -1820.6182795698924 -1835.4408602150538
31501 -1820.9139784946237 -1835.97311827957
31502 -1822.3978494623657 -1836.6881720430108
31503 -1823.231182795699 -1837.4086021505377
31505 -1823.6881720430108 -1838.1559139784947
31506 -1824.736559139785 -1839.241935483871
31507 -1825.779569892473 -1839.9516129032259
31508 -1826.3387096774193 -1840.784946236559
31510 -1827.3978494623657 -1841.5806451612902
31511 -1827.5860215053763 -1842.752688172043
31512 -1828.3978494623657 -1844.0806451612902
31513 -1828.3709677419354 -1845.1397849462367
31515 -1829.8709677419354 -1845.994623655914
31516 -1831.2903225806451 -1846.9247311827958
31517 -1832.483870967742 -1847.752688172043
31518 -1833.3817204301076 -1848.505376344086
31520 -1834.4354838709678 -1848.989247311828
31521 -1834.478494623656 -1849.467741935484
31522 -1834.5591397849462 -1850.0591397849462
31523 -1834.9086021505377 -1850.9086021505377
31525 -1835.736559139785 -1851.9301075268818
31526 -1836.3655913978494 -1852.7903225806451
31527 -1837.021505376344 -1853.258064516129
31528 -1837.978494623656 -1854.016129032258
31530 -1838.774193548387 -1854.3924731182797
31531 -1839.1612903225807 -1855.0430107526881
31532 -1840.3279569892472 -1856.0430107526881
31533 -1840.0860215053763 -1855.9139784946237
31535 -1840.2096774193549 -1856.1344086021506
31536 -1840.284946236559 -1856.8870967741937
31537 -1840.02688172043 -1857.1290322580646
31538 -1839.8387096774193 -1857.5806451612902
31540 -1840.0430107526881 -1858.3279569892472
31541 -1840.220430107527 -1858.2096774193549
31542 -1841.005376344086 -1858.5430107526881
31543 -1841.4193548387098 -1859.1451612903227
31545 -1841.6935483870968 -1859.3709677419354
31546 -1841.5483870967741 -1859.6559139784947
31547 -1841.8709677419354 -1859.715053763441
31548 -1841.510752688172 -1860.0
31550 -1841.9408602150538 -1860.3010752688172
31551 -1842.1290322580646 -1860.7903225806451
31552 -1842.021505376344 -1860.8440860215053
31553 -1842.0483870967741 -1860.8870967741937
31555 -1842.6129032258063 -1861.0913978494623
31556 -1842.768817204301 -1861.1236559139784
31557 -1842.6021505376343 -1861.3655913978494
31558 -1842.0913978494623 -1861.52688172043
31560 -1842.2043010752689 -1861.3870967741937
31561 -1841.9623655913979 -1861.2043010752689
31562 -1842.5860215053763 -1861.489247311828
31563 -1842.3924731182797 -1861.8817204301076
31565 -1842.1881720430108 -1862.3010752688172
31566 -1842.9247311827958 -1862.8010752688172
31567 -1843.7096774193549 -1863.236559139785
31568 -1843.47311827957 -1863.6774193548388
31570 -1843.5752688172042 -1864.268817204301
31571 -1843.983870967742 -1864.8494623655913
31572 -1844.3494623655913 -1865.6290322580646
31573 -1844.1021505376343 -1866.1881720430108
31575 -1844.4193548387098 -1866.47311827957
31576 -1844.0806451612902 -1866.768817204301
31577 -1844.505376344086 -1867.52688172043
31578 -1844.3333333333333 -1867.8225806451612
31580 -1844.8440860215053 -1867.8709677419354
31581 -1845.4086021505377 -1868.0860215053763
31582 -1846.010752688172 -1868.3010752688172
31583 -1846.1236559139784 -1868.215053763441
31585 -1846.5376344086021 -1868.0967741935483
31586 -1846.3870967741937 -1867.768817204301
31587 -1846.6505376344087 -1867.3870967741937
31588 -1846.97311827957 -1867.3225806451612
31590 -1847.6397849462367 -1866.989247311828
31591 -1847.3279569892472 -1866.779569892473
31592 -1847.6989247311828 -1866.5430107526881
31593 -1847.7903225806451 -1865.9086021505377
31595 -1847.8978494623657 -1865.6827956989248
31596 -1848.3602150537633 -1865.784946236559
31597 -1848.231182795699 -1865.5483870967741
31598 -1847.6935483870968 -1865.1720430107528
31600 -1847.1290322580646 -1864.4247311827958
31601 -1846.6559139784947 -1864.016129032258
31602 -1846.5913978494623 -1864.6290322580646
31603 -1847.1935483870968 -1864.3494623655913
31605 -1847.4032258064517 -1863.8333333333333
31606 -1847.010752688172 -1863.6827956989248
31607 -1846.9462365591398 -1864.02688172043
31608 -1846.6397849462367 -1864.010752688172
31610 -1847.3225806451612 -1864.1344086021506
31611 -1848.1720430107528 -1864.3225806451612
31612 -1848.8064516129032 -1864.3118279569892
31613 -1848.510752688172 -1864.8118279569892
31615 -1848.1989247311828 -1864.9247311827958
31616 -1848.5430107526881 -1864.747311827957
31617 -1848.8548387096773 -1864.8602150537633
31618 -1848.8817204301076 -1864.9408602150538
31620 -1849.3440860215053 -1865.1182795698924
31621 -1848.6129032258063 -1865.4462365591398
31622 -1848.3010752688172 -1865.7096774193549
31623 -1848.6720430107528 -1865.3924731182797
