ns "trace A [ADC]" "trace B [ADC]"
30875 -1864.288770053476 -1882.4385026737968
30876 -1864.1604278074867 -1882.2245989304813
30877 -1864.090909090909 -1882.2459893048128
30878 -1864.288770053476 -1882.3689839572191
30880 -1864.0 -1882.5454545454545
30881 -1864.1390374331552 -1882.24064171123
30882 -1864.2459893048128 -1882.1122994652405
30883 -1864.192513368984 -1881.8181818181818
30885 -1863.957219251337 -1881.4491978609626
30886 -1864.4491978609626 -1881.7326203208556
30887 -1864.0320855614973 -1881.7967914438502
30888 -1863.7914438502673 -1881.6417112299466
30890 -1863.9946524064171 -1881.6577540106953
30891 -1864.1016042780748 -1881.5454545454545
30892 -1864.0374331550802 -1881.5989304812833
30893 -1864.0534759358288 -1881.7058823529412
30895 -1864.2459893048128 -1882.0534759358288
30896 -1863.8609625668448 -1882.0106951871658
30897 -1864.0802139037432 -1881.8663101604277
30898 -1864.1176470588234 -1882.1069518716577
30900 -1864.197860962567 -1881.9786096256685
30901 -1864.0802139037432 -1882.0641711229946
30902 -1863.8716577540106 -1882.2673796791444
30903 -1864.1283422459894 -1882.1122994652405
30905 -1864.331550802139 -1882.2994652406417
30906 -1864.3101604278074 -1882.144385026738
30907 -1864.0053475935829 -1882.385026737968
30908 -1864.1229946524063 -1882.5401069518716
30910 -1864.0802139037432 -1882.6898395721926
30911 -1864.1550802139038 -1882.2941176470588
30912 -1864.24064171123 -1882.2139037433155
30913 -1863.9625668449198 -1882.2139037433155
30915 -1864.1229946524063 -1882.235294117647
30916 -1864.0374331550802 -1882.374331550802
30917 -1863.8449197860962 -1882.3208556149732
30918 -1863.8449197860962 -1882.1336898395723
30920 -1864.0695187165775 -1881.8128342245989
30921 -1863.9732620320856 -1881.957219251337
30922 -1863.8449197860962 -1881.8395721925133
30923 -1864.0053475935829 -1881.8770053475937
30925 -1863.8181818181818 -1881.5614973262032
30926 -1863.909090909091 -1881.566844919786
30927 -1863.9679144385027 -1881.5026737967914
30928 -1864.1657754010696 -1881.4545454545455
30930 -1864.2513368983957 -1881.5614973262032
30931 -1864.1016042780748 -1881.4866310160428
30932 -1864.3475935828876 -1881.6898395721926
30933 -1864.1122994652405 -1881.5882352941176
30935 -1864.5026737967914 -1881.7326203208556
30936 -1864.3796791443851 -1881.6844919786097
30937 -1864.0320855614973 -1881.4705882352941
30938 -1864.042780748663 -1881.8770053475937
30940 -1864.24064171123 -1882.0588235294117
30941 -1864.0641711229946 -1881.807486631016
30942 -1864.090909090909 -1881.8663101604277
30943 -1864.0374331550802 -1881.9893048128342
30945 -1863.9625668449198 -1881.9197860962568
30946 -1864.1818181818182 -1882.1016042780748
30947 -1863.9197860962568 -1882.4171122994653
30948 -1863.716577540107 -1882.192513368984
30950 -1864.0802139037432 -1882.1550802139038
30951 -1863.909090909091 -1882.385026737968
30952 -1863.4010695187167 -1882.4866310160428
30953 -1863.4919786096257 -1882.4010695187167
30955 -1863.8342245989304 -1882.5133689839572
30956 -1863.4010695187167 -1882.288770053476
30957 -1863.6417112299466 -1881.9893048128342
30958 -1863.9197860962568 -1882.2994652406417
30960 -1863.8235294117646 -1881.7219251336899
30961 -1863.8983957219252 -1881.572192513369
30962 -1863.7058823529412 -1881.524064171123
30963 -1863.7486631016043 -1881.614973262032
30965 -1864.144385026738 -1881.4117647058824
30966 -1864.2299465240642 -1881.4438502673797
30967 -1864.0855614973261 -1881.3048128342245
30968 -1863.850267379679 -1881.2941176470588
30970 -1863.716577540107 -1881.6631016042782
30971 -1863.6042780748662 -1881.6203208556149
30972 -1864.0213903743315 -1881.2941176470588
30973 -1864.0053475935829 -1881.2620320855615
30975 -1863.951871657754 -1881.3155080213903
30976 -1863.8770053475937 -1881.625668449198
30977 -1863.8395721925133 -1881.566844919786
30978 -1863.9465240641712 -1881.6951871657755
30980 -1864.4652406417113 -1881.6524064171124
30981 -1864.048128342246 -1881.5882352941176
30982 -1863.8609625668448 -1881.5026737967914
30983 -1864.0213903743315 -1881.9625668449198
30985 -1864.235294117647 -1882.1711229946525
30986 -1864.0748663101604 -1881.7754010695187
30987 -1864.1229946524063 -1881.903743315508
30988 -1864.283422459893 -1881.8716577540106
30990 -1864.197860962567 -1881.711229946524
30991 -1864.197860962567 -1882.0267379679144
30992 -1864.2566844919786 -1882.2459893048128
30993 -1864.1069518716577 -1881.9893048128342
30995 -1864.3368983957218 -1881.9197860962568
30996 -1864.1229946524063 -1881.9625668449198
30997 -1864.048128342246 -1882.192513368984
30998 -1864.235294117647 -1882.283422459893
31000 -1864.433155080214 -1882.1711229946525
