ns "trace A [ADC]" "trace B [ADC]"
30875 -1863.3957219251338 -1881.668449197861
30876 -1863.1122994652405 -1881.9358288770054
30877 -1863.2245989304813 -1881.7967914438502
30878 -1863.572192513369 -1881.6203208556149
30880 -1863.2941176470588 -1881.4919786096257
30881 -1863.390374331551 -1881.0374331550802
30882 -1863.2780748663101 -1881.3155080213903
30883 -1863.0534759358288 -1881.2941176470588
30885 -1863.1176470588234 -1880.7486631016043
30886 -1863.1550802139038 -1880.7754010695187
30887 -1862.6417112299466 -1880.5775401069518
30888 -1862.5294117647059 -1880.3796791443851
30890 -1862.8128342245989 -1880.716577540107
30891 -1862.8235294117646 -1880.4598930481284
30892 -1862.283422459893 -1880.197860962567
30893 -1862.3155080213903 -1880.0213903743315
30895 -1862.3101604278074 -1880.0695187165775
30896 -1862.4545454545455 -1880.1871657754011
30897 -1862.4385026737968 -1880.1550802139038
30898 -1862.433155080214 -1880.1016042780748
30900 -1862.4491978609626 -1880.0748663101604
30901 -1863.042780748663 -1880.1176470588234
30902 -1862.711229946524 -1879.951871657754
30903 -1862.9946524064171 -1879.8663101604277
30905 -1862.4491978609626 -1880.0160427807486
30906 -1862.2941176470588 -1880.288770053476
30907 -1862.4171122994653 -1880.5508021390374
30908 -1862.3957219251338 -1880.4491978609626
30910 -1862.326203208556 -1879.9893048128342
30911 -1862.7967914438502 -1879.9358288770054
30912 -1862.3368983957218 -1880.0534759358288
30913 -1862.2513368983957 -1880.149732620321
30915 -1861.8930481283423 -1880.1818181818182
30916 -1861.764705882353 -1880.3529411764705
30917 -1861.572192513369 -1879.9197860962568
30918 -1861.75935828877 -1880.0267379679144
30920 -1861.6363636363637 -1880.48128342246
30921 -1862.1657754010696 -1880.2941176470588
30922 -1862.2566844919786 -1880.2994652406417
30923 -1862.2727272727273 -1879.9679144385027
30925 -1862.4652406417113 -1879.9732620320856
30926 -1862.5561497326203 -1880.24064171123
30927 -1862.5454545454545 -1880.1069518716577
30928 -1862.3582887700534 -1880.0641711229946
30930 -1862.0267379679144 -1879.8288770053475
30931 -1862.3155080213903 -1879.8930481283423
30932 -1862.433155080214 -1879.8235294117646
30933 -1862.6524064171124 -1879.8395721925133
30935 -1862.6577540106953 -1879.9465240641712
30936 -1862.75935828877 -1879.9304812834225
30937 -1862.48128342246 -1880.144385026738
30938 -1862.4545454545455 -1880.2245989304813
30940 -1862.4491978609626 -1880.0320855614973
30941 -1862.802139037433 -1879.8663101604277
30942 -1862.5882352941176 -1880.0588235294117
30943 -1862.7807486631016 -1880.1176470588234
30945 -1862.7219251336899 -1880.2459893048128
30946 -1862.7860962566845 -1880.5133689839572
30947 -1862.7326203208556 -1880.2245989304813
30948 -1863.3529411764705 -1879.9732620320856
30950 -1863.2299465240642 -1880.3048128342245
30951 -1863.1229946524063 -1880.6951871657755
30952 -1862.957219251337 -1880.5935828877004
30953 -1863.2085561497327 -1880.4064171122996
30955 -1863.0267379679144 -1880.6470588235295
30956 -1863.2566844919786 -1880.4224598930482
30957 -1863.2139037433155 -1880.7540106951872
30958 -1863.4973262032086 -1880.7272727272727
30960 -1863.5133689839572 -1880.7967914438502
30961 -1863.673796791444 -1880.903743315508
30962 -1863.433155080214 -1880.8663101604277
30963 -1863.6203208556149 -1881.0213903743315
30965 -1863.374331550802 -1881.2780748663101
30966 -1863.6417112299466 -1881.3155080213903
30967 -1863.5828877005347 -1881.144385026738
30968 -1863.5561497326203 -1881.4652406417113
30970 -1863.390374331551 -1881.5508021390374
30971 -1863.5614973262032 -1881.2780748663101
30972 -1863.3208556149732 -1881.5828877005347
30973 -1863.3048128342245 -1881.4385026737968
30975 -1863.7326203208556 -1881.475935828877
30976 -1863.716577540107 -1881.7754010695187
30977 -1863.614973262032 -1881.4919786096257
30978 -1864.0695187165775 -1881.2139037433155
30980 -1863.807486631016 -1881.4866310160428
30981 -1863.572192513369 -1881.3208556149732
30982 -1862.7700534759358 -1881.5401069518716
30983 -1862.4866310160428 -1881.5508021390374
30985 -1861.8770053475937 -1881.24064171123
30986 -1861.4705882352941 -1880.9304812834225
30987 -1860.4866310160428 -1880.9946524064171
30988 -1859.2245989304813 -1880.6470588235295
30990 -1857.524064171123 -1879.9358288770054
30991 -1855.5882352941176 -1878.9893048128342
30992 -1853.5294117647059 -1877.2139037433155
30993 -1850.764705882353 -1875.3048128342245
30995 -1848.3529411764705 -1873.5614973262032
30996 -1846.3422459893047 -1871.5828877005347
