ns "trace A [ADC]" "trace B [ADC]"
30875 -1864.1208791208792 -1882.4285714285713
30876 -1864.1208791208792 -1882.39010989011
30877 -1864.3626373626373 -1882.3186813186812
30878 -1864.2747252747254 -1882.0604395604396
30880 -1863.956043956044 -1882.1813186813188
30881 -1864.3461538461538 -1882.043956043956
30882 -1864.2087912087911 -1881.8241758241759
30883 -1864.1813186813188 -1882.043956043956
30885 -1863.8956043956043 -1881.9120879120878
30886 -1864.2582417582419 -1881.8296703296703
30887 -1864.1813186813188 -1881.6813186813188
30888 -1864.1593406593406 -1881.8186813186812
30890 -1863.989010989011 -1882.0164835164835
30891 -1864.2087912087911 -1882.1593406593406
30892 -1863.8241758241759 -1881.9945054945056
30893 -1864.1373626373627 -1882.0824175824175
30895 -1863.967032967033 -1882.4065934065934
30896 -1864.2692307692307 -1882.2637362637363
30897 -1864.1208791208792 -1882.2527472527472
30898 -1864.1153846153845 -1882.6703296703297
30900 -1864.1373626373627 -1882.5824175824175
30901 -1864.368131868132 -1882.478021978022
30902 -1864.1263736263736 -1882.5
30903 -1864.3461538461538 -1882.357142857143
30905 -1864.032967032967 -1882.3461538461538
30906 -1864.2912087912089 -1882.7582417582419
30907 -1864.2692307692307 -1882.2417582417581
30908 -1864.3406593406594 -1882.2967032967033
30910 -1864.010989010989 -1882.3791208791208
30911 -1864.3021978021977 -1882.3076923076924
30912 -1864.2692307692307 -1882.3846153846155
30913 -1864.1043956043957 -1882.456043956044
30915 -1864.0054945054944 -1881.9835164835165
30916 -1864.1593406593406 -1881.7967032967033
30917 -1864.1153846153845 -1881.9175824175825
30918 -1864.131868131868 -1881.9065934065934
30920 -1864.010989010989 -1881.7692307692307
30921 -1863.8736263736264 -1881.9285714285713
30922 -1863.9450549450548 -1881.8296703296703
30923 -1864.0824175824175 -1881.4450549450548
30925 -1863.8351648351647 -1881.631868131868
30926 -1864.2967032967033 -1881.7747252747254
30927 -1864.2527472527472 -1881.8021978021977
30928 -1864.2197802197802 -1882.1538461538462
30930 -1864.1648351648353 -1881.5054945054944
30931 -1864.3736263736264 -1881.478021978022
30932 -1864.1208791208792 -1881.9505494505495
30933 -1864.510989010989 -1882.1648351648353
