
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_6_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 24655 -18.9  i
 24656 -18.25  i
 24657 -19.1  i
 24658 -19.4  i
 24660 -18.85  i
 24661 -18.3  i
 24662 -19  i
 24663 -18.6  i
 24665 -18.2  i
 24666 -18.1  i
 24667 -18.45  i
 24668 -18.1  i
 24670 -18.35  i
 24671 -17.4  i
 24672 -17.75  i
 24673 -17.15  i
 24675 -17.25  i
 24676 -17.1  i
 24677 -17.25  i
 24678 -16.65  i
 24680 -17.1  i
 24681 -16.55  i
 24682 -17.15  i
 24683 -16.2  i
 24685 -16.55  i
 24686 -16.4  i
 24687 -17  i
 24688 -16.45  i
 24690 -17.35  i
 24691 -16.05  i
 24692 -16.2  i
 24693 -16.35  i
 24695 -16.95  i
 24696 -16.85  i
 24697 -16.8  i
 24698 -16.75  i
 24700 -16.95  i
 24701 -16.05  i
 24702 -16.15  i
 24703 -15.7  i
 24705 -15.8  i
 24706 -15.45  i
 24707 -16.05  i
 24708 -15.75  i
 24710 -15.25  i
 24711 -14.5  i
 24712 -16.05  i
 24713 -15.4  i
 24715 -15.55  i
 24716 -14.75  i
 24717 -14.95  i
 24718 -15.05  i
 24720 -15.5  i
 24721 -14.55  i
 24722 -14.8  i
 24723 -14.55  i
 24725 -15.2  i
 24726 -14.6  i
 24727 -14.9  i
 24728 -14.3  i
 24730 -14.55  i
 24731 -14.75  i
 24732 -15.2  i
 24733 -14.9  i
 24735 -14.5  i
 24736 -13.55  i
 24737 -14.5  i
 24738 -14.6  i
 24740 -14.5  i
 24741 -13.25  i
 24742 -13.5  i
 24743 -13.55  i
 24745 -14.1  i
 24746 -13.9  i
 24747 -14.25  i
 24748 -13.9  i
 24750 -14.95  i
 24751 -14.5  i
 24752 -13.95  i
 24753 -13.25  i
 24755 -14.55  i
 24756 -14.5  i
 24757 -15.5  i
 24758 -13.9  i
 24760 -13.45  i
 24761 -13.85  i
 24762 -14.05  i
 24763 -13.8  i
 24765 -13.95  i
 24766 -13.8  i
 24767 -14.15  i
 24768 -14.4  i
 24770 -15.25  i
 24771 -14.8  i
 24772 -14.8  i
 24773 -14.3  i
 24775 -14.75  i
 24776 -14.65  i
 24777 -14.8  i
 24778 -14.35  i
 24780 -14.7  i
 24781 -14.9  i
 24782 -15.05  i
 24783 -14.15  i
 24785 -14.85  i
 24786 -14.1  i
 24787 -15.05  i
 24788 -14.7  i
 24790 -15.4  i
 24791 -15.25  i
 24792 -15.5  i
 24793 -14.3  i
 24795 -14.9  i
 24796 -14.6  i
 24797 -14.4  i
 24798 -13.35  i
 24800 -14.25  i
 24801 -13.75  i
 24802 -13.9  i
 24803 -13.4  i
 24805 -13.9  i
 24806 -13.3  i
 24807 -13.7  i
 24808 -13.1  i
 24810 -14.5  i
 24811 -13.45  i
 24812 -13.85  i
 24813 -12.9  i
 24815 -13.7  i
 24816 -13.5  i
 24817 -12.25  i
 24818 -9.7  i
 24820 -9.25  i
 24821 -5.75  i
 24822 -2.75  i
 24823  2.25  i
 24825  6.45  i
 24826  12.3  i
 24827  19.1  i
 24828  25.75  i
 24830  31.85  i
 24831  40.35  i
 24832  47.7  i
 24833  57.6  i
 24835  69.2  i
 24836  84.55  i
 24837  103.35  i
 24838  128.35  i
 24840  156.6  i
 24841  187.05  i
 24842  219.4  i
 24843  256.85  i
 24845  296.2  i
 24846  334.95  i
 24847  376  i
 24848  423.15  i
 24850  477.3  i
 24851  548.4  i
 24852  639.7  i
 24853  749.65  i
 24855  875.05  i
 24856  1015.75  i
 24857  1170.95  i
