
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_0_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 24655 -20  i
 24656 -19.25  i
 24657 -19.4  i
 24658 -18.4  i
 24660 -19.5  i
 24661 -19  i
 24662 -19.55  i
 24663 -18.4  i
 24665 -18.55  i
 24666 -18.2  i
 24667 -18.5  i
 24668 -18.1  i
 24670 -18.5  i
 24671 -18  i
 24672 -18.45  i
 24673 -17.4  i
 24675 -17.85  i
 24676 -17.9  i
 24677 -18.95  i
 24678 -17.8  i
 24680 -18.35  i
 24681 -17.55  i
 24682 -17.9  i
 24683 -17.55  i
 24685 -18.15  i
 24686 -17.3  i
 24687 -17.6  i
 24688 -17.7  i
 24690 -17.35  i
 24691 -16.9  i
 24692 -17.9  i
 24693 -17.6  i
 24695 -18.5  i
 24696 -17.9  i
 24697 -18.1  i
 24698 -17.9  i
 24700 -18.65  i
 24701 -17.85  i
 24702 -18.5  i
 24703 -18  i
 24705 -17.9  i
 24706 -17.6  i
 24707 -17.85  i
 24708 -17.4  i
 24710 -17.95  i
 24711 -17.7  i
 24712 -18.75  i
 24713 -18.4  i
 24715 -19.2  i
 24716 -17.75  i
 24717 -18  i
 24718 -18.25  i
 24720 -18.9  i
 24721 -18.3  i
 24722 -17.85  i
 24723 -17.15  i
 24725 -18.1  i
 24726 -18.6  i
 24727 -19  i
 24728 -18.35  i
 24730 -19.05  i
 24731 -18.3  i
 24732 -18.95  i
 24733 -18.5  i
 24735 -19.35  i
 24736 -18.45  i
 24737 -19.35  i
 24738 -18.55  i
 24740 -19.3  i
 24741 -18.8  i
 24742 -19.55  i
 24743 -19.15  i
 24745 -19.5  i
 24746 -19.35  i
 24747 -20.4  i
 24748 -20.2  i
 24750 -20.1  i
 24751 -20.1  i
 24752 -20.9  i
 24753 -20.6  i
 24755 -21.2  i
 24756 -20.55  i
 24757 -20.7  i
 24758 -20.6  i
 24760 -21.45  i
 24761 -20.4  i
 24762 -21  i
 24763 -19.9  i
 24765 -20.5  i
 24766 -20.05  i
 24767 -20.65  i
 24768 -20.85  i
 24770 -22.15  i
 24771 -21.55  i
 24772 -21.8  i
 24773 -20.9  i
 24775 -21.55  i
 24776 -20.95  i
 24777 -21.05  i
 24778 -18.95  i
 24780 -15.9  i
 24781 -9.95  i
 24782  0.8  i
 24783  14.1  i
 24785  26  i
 24786  40.95  i
 24787  55.35  i
 24788  70.9  i
 24790  82.85  i
 24791  91.5  i
 24792  94.95  i
 24793  97.35  i
 24795  98.45  i
 24796  99.55  i
 24797  102.5  i
 24798  111.85  i
 24800  127.75  i
 24801  155.9  i
 24802  188.85  i
 24803  228.2  i
 24805  272.3  i
 24806  320.5  i
 24807  366.1  i
 24808  409.45  i
 24810  440.5  i
 24811  458.1  i
 24812  466.55  i
 24813  469.65  i
 24815  464.65  i
 24816  455.8  i
 24817  447.25  i
 24818  441.5  i
 24820  433.9  i
 24821  430.75  i
 24822  427.5  i
 24823  422.75  i
 24825  419.45  i
 24826  422.85  i
 24827  426  i
 24828  430.1  i
 24830  438.1  i
 24831  457.2  i
 24832  489.45  i
 24833  537.05  i
 24835  597.95  i
 24836  671.2  i
 24837  752.7  i
 24838  849.6  i
 24840  950.4  i
 24841  1047.4  i
 24842  1137.1  i
 24843  1213.35  i
 24845  1269.4  i
 24846  1313.75  i
 24847  1350.8  i
 24848  1386.3  i
 24850  1422.7  i
 24851  1454.7  i
 24852  1483.85  i
 24853  1517.7  i
 24855  1549.6  i
 24856  1589.8  i
 24857  1636.8  i
 24858  1684.75  i
 24860  1730.45  i
 24861  1777.45  i
 24862  1817.45  i
 24863  1859.85  i
 24865  1906.5  i
 24866  1949.55  i
 24867  1986.1  i
 24868  2030.65  i
 24870  2082.15  i
 24871  2141.2  i
 24872  2211.3  i
 24873  2295.75  i
 24875  2389.25  i
 24876  2498.25  i
 24877  2618.95  i
 24878  2750.65  i
 24880  2887.4  i
 24881  3037.1  i
 24882  3200.5  i
 24883  3374.5  i
 24885  3569.7  i
 24886  3793.55  i
 24887  4041.05  i
 24888  4320.3  i
 24890  4664.3  i
 24891  5083.85  i
 24892  5551.45  i
 24893  6097.7  i
 24895  6736.1  i
 24896  7426.3  i
 24897  8152.85  i
 24898  8912.2  i
 24900  9681.3  i
 24901  10472.4  i
 24902  11269.4  i
 24903  12040.7  i
 24905  12781.6  i
 24906  13517  i
 24907  14241.9  i
 24908  14933.5  i
 24910  15598.8  i
 24911  16218.6  i
 24912  16753.4  i
 24913  17220.9  i
 24915  17624.9  i
 24916  17956.3  i
 24917  18217.4  i
 24918  18397  i
 24920  18474.9  i
 24921  18459.8  i
 24922  18364.5  i
 24923  18196  i
 24925  17950.3  i
 24926  17622.6  i
 24927  17208  i
 24928  16715.5  i
 24930  16177.2  i
 24931  15599.3  i
 24932  14995.1  i
 24933  14401.5  i
 24935  13837  i
 24936  13329  i
