
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_5_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 24655 -12.85  i
 24656 -13.15  i
 24657 -12.6  i
 24658 -12.05  i
 24660 -11.35  i
 24661 -11.25  i
 24662 -12.2  i
 24663 -11.6  i
 24665 -10.45  i
 24666 -10.35  i
 24667 -10.7  i
 24668 -10.35  i
 24670 -9.9  i
 24671 -8.25  i
 24672 -8.1  i
 24673 -7.9  i
 24675 -8.1  i
 24676 -7.75  i
 24677 -7.3  i
 24678 -6.75  i
 24680 -6.85  i
 24681 -6.35  i
 24682 -6.4  i
 24683 -7.55  i
 24685 -6.8  i
 24686 -6.95  i
 24687 -7.2  i
 24688 -5.95  i
 24690 -6.2  i
 24691 -6.2  i
 24692 -5.45  i
 24693 -4.25  i
 24695 -3.55  i
 24696 -3.6  i
 24697 -4.3  i
 24698 -3.8  i
 24700 -4.45  i
 24701 -5.45  i
 24702 -5.4  i
 24703 -4.95  i
 24705 -4.85  i
 24706 -4.8  i
 24707 -4.6  i
 24708 -4.75  i
 24710 -5.6  i
 24711 -5.4  i
 24712 -5.95  i
 24713 -5.55  i
 24715 -3.85  i
 24716 -3.7  i
 24717 -3.1  i
 24718 -3.8  i
 24720 -3.8  i
 24721 -3.75  i
 24722 -3.4  i
 24723 -3.7  i
 24725 -3.95  i
 24726 -3.45  i
 24727 -3.05  i
 24728 -2.5  i
 24730 -3.65  i
 24731 -3.75  i
 24732 -3.1  i
 24733 -2.95  i
 24735 -1.65  i
 24736 -1.1  i
 24737 -2.4  i
 24738 -1.25  i
 24740 -0.3  i
 24741 -0.35  i
 24742 -0.3  i
 24743 -0.7  i
 24745 -0.85  i
 24746 -1.25  i
 24747 -1.1  i
 24748 -1.4  i
 24750 -2.35  i
 24751 -2.25  i
 24752 -1.85  i
 24753 -1.1  i
 24755 -2  i
 24756 -2.5  i
 24757 -3  i
 24758 -1.9  i
 24760 -1.9  i
 24761 -1.6  i
 24762 -1.95  i
 24763 -2.55  i
 24765 -1.35  i
 24766 -1.15  i
 24767 -1.95  i
 24768 -1.55  i
 24770 -2.35  i
 24771 -1.8  i
 24772 -0.95  i
 24773 -2.15  i
 24775 -2.2  i
 24776 -2.05  i
 24777 -1.6  i
 24778 -1.1  i
 24780 -0.55  i
 24781 -2  i
 24782 -1.7  i
 24783 -1.65  i
 24785 -1  i
 24786 -1.15  i
 24787 -1.25  i
 24788 -1.65  i
 24790 -2.9  i
 24791 -2.4  i
 24792 -1.9  i
 24793 -2.8  i
 24795 -2.4  i
 24796 -2  i
 24797 -1.55  i
 24798 -1.1  i
 24800 -1.4  i
 24801 -1.9  i
 24802 -1.7  i
 24803 -0.65  i
 24805 -0.15  i
 24806 -0.85  i
 24807 -0.25  i
 24808  2.6  i
 24810  4  i
 24811  7  i
 24812  10.2  i
 24813  14  i
 24815  18.05  i
 24816  23.35  i
 24817  27.55  i
 24818  30.7  i
 24820  34.7  i
 24821  36.8  i
 24822  37.45  i
 24823  38.5  i
 24825  37.65  i
