
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_2_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 25017  1268.7  i
 25018  1238.45  i
 25020  1212.15  i
 25021  1186.6  i
 25022  1165.75  i
 25023  1146.9  i
 25025  1130.55  i
 25026  1107.3  i
 25027  1089.1  i
 25028  1075.2  i
 25030  1062.15  i
 25031  1044.75  i
 25032  1031.6  i
 25033  1021.55  i
 25035  1013.45  i
 25036  1006.15  i
 25037  997.5  i
 25038  982.85  i
 25040  967.65  i
 25041  950.8  i
 25042  931.85  i
 25043  903.1  i
 25045  870.85  i
 25046  832.5  i
 25047  792.45  i
 25048  751.85  i
 25050  721.8  i
 25051  697.6  i
 25052  669.7  i
 25053  639.9  i
 25055  624.85  i
 25056  610.55  i
 25057  594.55  i
 25058  580.35  i
 25060  568.7  i
 25061  556.85  i
 25062  546.65  i
 25063  533.05  i
 25065  523.65  i
 25066  512.8  i
 25067  506.8  i
 25068  501.25  i
 25070  494.8  i
 25071  486.75  i
 25072  482.2  i
 25073  477.8  i
 25075  474.65  i
 25076  470.1  i
 25077  467.35  i
 25078  461.7  i
 25080  454.5  i
 25081  449.35  i
 25082  447.65  i
 25083  441.9  i
 25085  437.5  i
 25086  432.2  i
 25087  427.55  i
 25088  419.35  i
 25090  410.7  i
 25091  397.35  i
 25092  385.2  i
 25093  369.75  i
 25095  354.9  i
 25096  338.8  i
 25097  321.65  i
 25098  303.2  i
 25100  293.95  i
 25101  290.25  i
 25102  289.55  i
 25103  292.35  i
 25105  298.85  i
 25106  302.9  i
 25107  310.65  i
 25108  316.5  i
 25110  322.85  i
 25111  328.1  i
 25112  331.3  i
 25113  331.9  i
 25115  336.35  i
 25116  341.5  i
 25117  345.15  i
 25118  344.35  i
 25120  345.85  i
 25121  346.05  i
 25122  347.65  i
 25123  348.3  i
 25125  347.75  i
 25126  343.5  i
 25127  344.75  i
 25128  345.2  i
 25130  347.3  i
 25131  344.4  i
 25132  343.85  i
 25133  344.4  i
 25135  347.9  i
 25136  349.9  i
 25137  351.85  i
 25138  351.75  i
 25140  355.4  i
 25141  356.8  i
 25142  357.7  i
 25143  357.45  i
 25145  358.75  i
 25146  358.15  i
 25147  362.4  i
 25148  363.15  i
 25150  362.85  i
 25151  358.8  i
 25152  359.4  i
 25153  363.4  i
 25155  364.95  i
 25156  365  i
 25157  365.9  i
 25158  364.35  i
 25160  365.2  i
 25161  364  i
 25162  365.1  i
 25163  363.45  i
 25165  361.6  i
 25166  356.85  i
 25167  356.4  i
 25168  353.9  i
 25170  353.95  i
 25171  353.9  i
 25172  355.85  i
 25173  356.7  i
 25175  358.45  i
 25176  356.4  i
 25177  356.7  i
 25178  357.55  i
 25180  356.7  i
 25181  354.5  i
 25182  356.15  i
 25183  355.15  i
 25185  354.05  i
 25186  354.15  i
 25187  353.8  i
 25188  349.4  i
 25190  349.7  i
 25191  348.25  i
 25192  349.1  i
 25193  348.4  i
 25195  348.45  i
 25196  345.6  i
 25197  345.45  i
 25198  343.35  i
 25200  341.95  i
 25201  339.2  i
 25202  338.05  i
 25203  333.8  i
 25205  333.55  i
 25206  330.9  i
 25207  326.1  i
 25208  322.5  i
 25210  321.7  i
 25211  316.85  i
 25212  316.1  i
 25213  313.65  i
 25215  310.35  i
 25216  308.3  i
 25217  307.35  i
 25218  303.45  i
 25220  300.5  i
 25221  294.25  i
 25222  291.95  i
 25223  287.5  i
 25225  284.55  i
 25226  278.65  i
 25227  274.6  i
 25228  272.9  i
 25230  273.15  i
 25231  270.6  i
 25232  269.7  i
 25233  264.95  i
 25235  262.15  i
 25236  259.5  i
 25237  257.25  i
 25238  252.6  i
 25240  247.15  i
 25241  239.65  i
 25242  234.8  i
 25243  226.45  i
 25245  219.95  i
 25246  216.15  i
 25247  213.95  i
 25248  208.4  i
 25250  206.25  i
 25251  202.7  i
 25252  199.55  i
 25253  197.6  i
 25255  196.05  i
 25256  191.55  i
 25257  190.1  i
 25258  186.5  i
 25260  183.85  i
 25261  179.55  i
 25262  179.2  i
 25263  177.65  i
 25265  179  i
 25266  176.45  i
 25267  174.9  i
 25268  173.1  i
 25270  172.3  i
 25271  173.3  i
 25272  175.6  i
 25273  173.6  i
 25275  173.15  i
 25276  171.7  i
 25277  172.15  i
 25278  169.1  i
 25280  167.7  i
 25281  165.95  i
 25282  164.2  i
 25283  159.5  i
 25285  156.5  i
 25286  151.5  i
 25287  148.45  i
 25288  145.85  i
 25290  143.5  i
 25291  142  i
 25292  142.4  i
 25293  140.65  i
 25295  140.25  i
 25296  139.6  i
 25297  139.9  i
 25298  137.45  i
 25300  137.6  i
 25301  134.95  i
 25302  134.2  i
 25303  131.3  i
 25305  129.65  i
 25306  127.3  i
 25307  126.9  i
 25308  124.75  i
 25310  125.25  i
 25311  125.3  i
 25312  124.75  i
 25313  122.3  i
 25315  121.8  i
 25316  119  i
 25317  119  i
