
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_4_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 24655 -22.35  i
 24656 -22.8  i
 24657 -22.05  i
 24658 -22.35  i
 24660 -22.25  i
 24661 -21.8  i
 24662 -21.45  i
 24663 -22.05  i
 24665 -21.65  i
 24666 -22.35  i
 24667 -21.6  i
 24668 -21.45  i
 24670 -20.95  i
 24671 -21  i
 24672 -20.9  i
 24673 -21.45  i
 24675 -20.75  i
 24676 -21.5  i
 24677 -20.2  i
 24678 -20.25  i
 24680 -19.75  i
 24681 -20.95  i
 24682 -19.2  i
 24683 -19.7  i
 24685 -18.35  i
 24686 -18.65  i
 24687 -17.35  i
 24688 -17  i
 24690 -16.15  i
 24691 -16.15  i
 24692 -15.65  i
 24693 -15.85  i
 24695 -15.5  i
 24696 -15.35  i
 24697 -14.8  i
 24698 -14.75  i
 24700 -13.15  i
 24701 -13.25  i
 24702 -11.95  i
 24703 -12.4  i
 24705 -10.85  i
 24706 -10.85  i
 24707 -9.95  i
 24708 -10.65  i
 24710 -9.6  i
 24711 -9.2  i
 24712 -8.6  i
 24713 -8.25  i
 24715 -7.25  i
 24716 -7.35  i
 24717 -6  i
 24718 -6.1  i
 24720 -5.5  i
 24721 -6.2  i
 24722 -5.2  i
 24723 -5  i
 24725 -4.7  i
 24726 -5.25  i
 24727 -4.5  i
 24728 -5.1  i
 24730 -4.45  i
 24731 -5  i
 24732 -4.35  i
 24733 -4.9  i
 24735 -3.6  i
 24736 -3.35  i
 24737 -2.4  i
 24738 -3.15  i
 24740 -2.35  i
 24741 -2.9  i
 24742 -2.5  i
 24743 -3.35  i
 24745 -3.3  i
 24746 -3.7  i
 24747 -3.05  i
 24748 -3.8  i
 24750 -3.3  i
 24751 -4.15  i
 24752 -3.95  i
 24753 -4.8  i
 24755 -4.75  i
 24756 -6.05  i
 24757 -5.15  i
 24758 -6.1  i
 24760 -6.55  i
 24761 -8.2  i
 24762 -8.1  i
 24763 -8.95  i
 24765 -7.85  i
 24766 -8.35  i
 24767 -9  i
 24768 -9.25  i
 24770 -8.55  i
 24771 -9.2  i
 24772 -9.35  i
 24773 -9.7  i
 24775 -9.9  i
 24776 -10.95  i
 24777 -10.65  i
 24778 -12.05  i
 24780 -11.15  i
 24781 -12.65  i
 24782 -11.95  i
 24783 -12.65  i
 24785 -12  i
 24786 -12.25  i
 24787 -12.35  i
 24788 -13.95  i
 24790 -14.8  i
