
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_3_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 24655 -21.3  i
 24656 -21.45  i
 24657 -21.6  i
 24658 -21.25  i
 24660 -21.95  i
 24661 -21.95  i
 24662 -21.3  i
 24663 -21.8  i
 24665 -21.45  i
 24666 -21.15  i
 24667 -20.95  i
 24668 -21.25  i
 24670 -21.1  i
 24671 -21.45  i
 24672 -21.15  i
 24673 -20.15  i
 24675 -19.8  i
 24676 -20.15  i
 24677 -20.7  i
 24678 -20.55  i
 24680 -20.05  i
 24681 -20.4  i
 24682 -20.6  i
 24683 -20.45  i
 24685 -21  i
 24686 -21.05  i
 24687 -21.15  i
 24688 -20.85  i
 24690 -21  i
 24691 -20.8  i
 24692 -20.45  i
 24693 -20.75  i
 24695 -20.75  i
 24696 -19.85  i
 24697 -20.3  i
 24698 -20.7  i
 24700 -20.75  i
 24701 -20.45  i
 24702 -21.3  i
 24703 -21.4  i
 24705 -20.7  i
 24706 -20.75  i
 24707 -21.25  i
 24708 -21.15  i
 24710 -20.85  i
 24711 -21.4  i
 24712 -21  i
 24713 -21.3  i
 24715 -20.9  i
 24716 -21.2  i
 24717 -21.65  i
 24718 -20.8  i
 24720 -21.3  i
 24721 -21.6  i
 24722 -21.4  i
 24723 -21.5  i
 24725 -21.3  i
 24726 -20.8  i
 24727 -21  i
 24728 -21.25  i
 24730 -20.45  i
 24731 -20.75  i
 24732 -21.55  i
 24733 -20.75  i
 24735 -20.25  i
 24736 -21  i
 24737 -21.3  i
 24738 -20.7  i
 24740 -20.75  i
 24741 -20.2  i
 24742 -20.3  i
 24743 -21.05  i
 24745 -20.35  i
 24746 -19.95  i
 24747 -19.75  i
 24748 -19.9  i
 24750 -21  i
 24751 -20.5  i
 24752 -20.45  i
 24753 -20.55  i
 24755 -20.9  i
 24756 -20.95  i
 24757 -20.7  i
 24758 -21  i
 24760 -20.65  i
 24761 -20.7  i
 24762 -21.5  i
 24763 -20.45  i
 24765 -20.35  i
 24766 -20.6  i
 24767 -20.7  i
 24768 -20.6  i
 24770 -20.45  i
 24771 -20.55  i
 24772 -20.4  i
 24773 -20.05  i
 24775 -20.5  i
 24776 -21.05  i
 24777 -21.85  i
 24778 -21.05  i
 24780 -21.25  i
 24781 -21.55  i
 24782 -21.05  i
 24783 -21.35  i
 24785 -22  i
 24786 -21.15  i
 24787 -20.95  i
 24788 -21.45  i
 24790 -20.5  i
 24791 -20.5  i
 24792 -21  i
 24793 -20.75  i
 24795 -19.8  i
 24796 -19.75  i
 24797 -19  i
 24798 -18.15  i
 24800 -17.2  i
 24801 -17  i
 24802 -16.25  i
 24803 -16.45  i
 24805 -16.1  i
 24806 -15  i
 24807 -15.15  i
 24808 -15.15  i
 24810 -14.45  i
 24811 -14.2  i
 24812 -13.55  i
 24813 -12.4  i
 24815 -11.3  i
 24816 -10.1  i
 24817 -8.65  i
 24818 -6.15  i
 24820 -2.7  i
 24821  0.1  i
 24822  6.05  i
 24823  16.65  i
 24825  33.95  i
 24826  61.1  i
 24827  99.1  i
 24828  149.85  i
 24830  217.6  i
 24831  300.15  i
 24832  390.1  i
 24833  485.7  i
 24835  584.9  i
 24836  680.9  i
 24837  770.9  i
 24838  853.05  i
 24840  916.2  i
 24841  962.4  i
 24842  991.9  i
 24843  1007.55  i
 24845  1010.8  i
 24846  1006.25  i
 24847  996.05  i
 24848  985.25  i
 24850  979.25  i
 24851  979.15  i
 24852  979.05  i
 24853  979.45  i
 24855  987.65  i
 24856  1001.45  i
 24857  1023.1  i
 24858  1062.6  i
 24860  1122.75  i
 24861  1192.15  i
 24862  1273.25  i
 24863  1370.25  i
 24865  1479.85  i
 24866  1591.7  i
 24867  1707.7  i
 24868  1825.85  i
 24870  1938.3  i
 24871  2039.65  i
 24872  2135.8  i
 24873  2237.3  i
 24875  2346.35  i
 24876  2460.9  i
 24877  2576.9  i
 24878  2692.15  i
 24880  2814.9  i
 24881  2957.7  i
 24882  3112.4  i
 24883  3283.65  i
 24885  3480.7  i
 24886  3695.15  i
 24887  3917.25  i
 24888  4154.75  i
 24890  4417.5  i
 24891  4695.15  i
 24892  4980.05  i
 24893  5271.75  i
 24895  5562.65  i
 24896  5863.7  i
 24897  6192.6  i
 24898  6537.5  i
 24900  6902.6  i
 24901  7264.25  i
 24902  7616.55  i
 24903  7961.75  i
 24905  8307.4  i
 24906  8668.8  i
 24907  9047.6  i
 24908  9466.45  i
 24910  9935.55  i
 24911  10447.6  i
 24912  11014  i
 24913  11614.3  i
 24915  12242.2  i
 24916  12902  i
 24917  13564.1  i
 24918  14213.9  i
 24920  14840.7  i
 24921  15418.2  i
 24922  15925.4  i
 24923  16359.4  i
 24925  16716.2  i
 24926  16988.5  i
 24927  17170.3  i
 24928  17269.9  i
 24930  17286  i
 24931  17219.7  i
 24932  17062.6  i
 24933  16828.1  i
 24935  16539.2  i
 24936  16188.2  i
 24937  15777.6  i
 24938  15348  i
 24940  14913.2  i
 24941  14473.6  i
 24942  14053.5  i
 24943  13673  i
 24945  13318.8  i
 24946  13013.9  i
 24947  12774.6  i
 24948  12592.8  i
 24950  12471.6  i
 24951  12421.5  i
 24952  12433.5  i
 24953  12505.4  i
 24955  12645.1  i
 24956  12860.4  i
 24957  13125.6  i
 24958  13417.3  i
 24960  13735.9  i
 24961  14058.6  i
 24962  14345.2  i
 24963  14583.4  i
 24965  14758.1  i
 24966  14824.8  i
 24967  14749  i
 24968  14521.2  i
 24970  14126.8  i
 24971  13562  i
 24972  12838.2  i
 24973  11964.4  i
 24975  10999.2  i
 24976  9995  i
 24977  8973.55  i
 24978  7999.9  i
 24980  7100.1  i
 24981  6280.35  i
 24982  5565.05  i
 24983  4957.8  i
 24985  4444.8  i
 24986  4019.8  i
 24987  3667.85  i
 24988  3372.35  i
 24990  3130.9  i
 24991  2929.65  i
 24992  2754.55  i
 24993  2609.15  i
 24995  2475.9  i
 24996  2350.8  i
 24997  2240.25  i
 24998  2134.4  i
 25000  2035.9  i
 25001  1952.1  i
 25002  1875.9  i
 25003  1805.45  i
 25005  1742.25  i
 25006  1680.75  i
 25007  1620.4  i
 25008  1566.65  i
 25010  1514.9  i
 25011  1462.45  i
 25012  1413.55  i
 25013  1372.5  i
 25015  1336.15  i
 25016  1306.3  i
 25017  1279.05  i
 25018  1250.1  i
 25020  1222.8  i
 25021  1198.6  i
 25022  1176.95  i
 25023  1156.25  i
 25025  1138.4  i
 25026  1121.25  i
 25027  1101.05  i
 25028  1079.15  i
 25030  1062.15  i
 25031  1046  i
 25032  1025.55  i
 25033  1007.55  i
 25035  991.4  i
 25036  970.35  i
 25037  950.55  i
 25038  934.7  i
 25040  920.5  i
 25041  903.15  i
 25042  884.1  i
 25043  867.75  i
 25045  854.35  i
 25046  840.15  i
 25047  825.65  i
 25048  814.95  i
 25050  803.15  i
 25051  789.45  i
 25052  776  i
 25053  761.4  i
 25055  746  i
 25056  730.45  i
 25057  710.7  i
 25058  692.3  i
 25060  675.05  i
 25061  654.85  i
 25062  629  i
 25063  607.05  i
 25065  583.5  i
 25066  556.7  i
 25067  536.6  i
 25068  519.8  i
 25070  504.35  i
 25071  490.25  i
 25072  474.5  i
 25073  457.7  i
 25075  444.55  i
 25076  433.55  i
 25077  427.95  i
 25078  425.15  i
 25080  418.65  i
 25081  412.8  i
 25082  409.9  i
 25083  405.35  i
 25085  400.4  i
 25086  395.35  i
 25087  390.4  i
 25088  387.9  i
 25090  381.25  i
 25091  371.45  i
 25092  363.4  i
 25093  355.15  i
 25095  343.75  i
 25096  328.8  i
 25097  314.5  i
 25098  298.05  i
 25100  279.8  i
 25101  263.55  i
 25102  250.45  i
 25103  238.9  i
 25105  228.4  i
 25106  221.15  i
 25107  218.05  i
 25108  220.1  i
 25110  226.25  i
 25111  234.65  i
 25112  244.15  i
 25113  249.8  i
 25115  255.05  i
 25116  263.95  i
 25117  270.35  i
 25118  277.2  i
 25120  284.35  i
 25121  289.4  i
 25122  292.6  i
 25123  296.15  i
 25125  298.1  i
 25126  298  i
 25127  297.7  i
 25128  298.8  i
 25130  303.05  i
 25131  306.5  i
 25132  311.7  i
 25133  312.4  i
 25135  311.45  i
 25136  312.1  i
 25137  312.1  i
 25138  313.6  i
 25140  315.45  i
 25141  318.7  i
 25142  319.3  i
 25143  318.8  i
 25145  317.15  i
 25146  317.7  i
 25147  318.35  i
 25148  317.8  i
 25150  317.05  i
 25151  318.95  i
 25152  321.9  i
 25153  323.4  i
 25155  321.1  i
 25156  319.9  i
 25157  320.05  i
 25158  318.65  i
 25160  317.7  i
 25161  318.95  i
 25162  321  i
 25163  320.8  i
 25165  319.8  i
 25166  318.9  i
 25167  317.7  i
 25168  316.15  i
 25170  315.8  i
 25171  318.1  i
 25172  318.75  i
 25173  317.85  i
 25175  317.1  i
 25176  319.2  i
 25177  322.95  i
 25178  322.25  i
 25180  321.65  i
 25181  321.7  i
 25182  318.85  i
 25183  317  i
 25185  317.95  i
 25186  316.55  i
 25187  314.5  i
 25188  315.8  i
 25190  314  i
 25191  311.15  i
 25192  309.75  i
 25193  308.35  i
 25195  307.2  i
 25196  308.4  i
 25197  307.9  i
 25198  306.85  i
 25200  304.35  i
 25201  303.85  i
 25202  303.45  i
 25203  301.15  i
 25205  297.35  i
 25206  295.75  i
 25207  293.5  i
 25208  290.1  i
 25210  288.85  i
 25211  288.5  i
 25212  285.15  i
 25213  283.9  i
 25215  281.35  i
 25216  277.6  i
 25217  275.4  i
 25218  272  i
 25220  266.95  i
 25221  262.4  i
 25222  257.55  i
 25223  252.45  i
 25225  250.1  i
 25226  247.8  i
 25227  244.45  i
 25228  240.95  i
 25230  237.65  i
 25231  233.75  i
 25232  229.35  i
 25233  226.85  i
 25235  223.75  i
 25236  220.1  i
 25237  215.55  i
 25238  212.2  i
 25240  208.7  i
 25241  205.4  i
 25242  201  i
 25243  196.75  i
 25245  192.4  i
 25246  187.85  i
 25247  182.85  i
 25248  179.8  i
 25250  177.75  i
 25251  174.6  i
 25252  170.05  i
 25253  166.6  i
 25255  164.55  i
 25256  161.65  i
 25257  158.95  i
 25258  157.5  i
 25260  155.2  i
 25261  151.95  i
 25262  149.85  i
 25263  146.2  i
 25265  144.6  i
 25266  143.3  i
 25267  142.3  i
 25268  139.6  i
 25270  137.6  i
 25271  135.7  i
 25272  133.85  i
 25273  132.1  i
 25275  131.7  i
 25276  131.8  i
 25277  130.95  i
 25278  129.6  i
 25280  128.9  i
 25281  129.65  i
 25282  128.8  i
 25283  127.55  i
 25285  127.85  i
 25286  127.5  i
 25287  128  i
 25288  128.05  i
 25290  128.7  i
 25291  131.2  i
 25292  132  i
 25293  130.5  i
 25295  129.4  i
 25296  130  i
 25297  130.35  i
 25298  130.7  i
 25300  129.5  i
 25301  128.8  i
 25302  125.65  i
 25303  122.35  i
 25305  120.8  i
 25306  119.05  i
 25307  116.8  i
 25308  115  i
 25310  113.55  i
 25311  112.7  i
 25312  111.5  i
 25313  111.15  i
 25315  111.4  i
 25316  111.5  i
 25317  109.3  i
 25318  108.95  i
 25320  108.25  i
 25321  107.75  i
 25322  106.75  i
 25323  106.8  i
 25325  106.15  i
 25326  105.8  i
 25327  107.6  i
 25328  107.45  i
 25330  107.5  i
 25331  107.3  i
 25332  107.5  i
 25333  108.8  i
 25335  107.85  i
 25336  105.15  i
 25337  103.2  i
 25338  101.75  i
 25340  98.4  i
 25341  94.9  i
 25342  91.1  i
 25343  87.45  i
 25345  84.75  i
 25346  83.1  i
 25347  79.7  i
 25348  78.85  i
 25350  78.35  i
 25351  75.7  i
 25352  72.3  i
 25353  70.3  i
 25355  70.8  i
 25356  71.3  i
 25357  71.2  i
 25358  72.05  i
 25360  71.85  i
 25361  69.7  i
 25362  68.1  i
 25363  68.95  i
 25365  69  i
 25366  67.3  i
 25367  65.25  i
 25368  62.7  i
 25370  61.5  i
 25371  61.2  i
 25372  61.85  i
 25373  62.65  i
 25375  62.7  i
 25376  63.45  i
 25377  63.7  i
 25378  61.9  i
 25380  60.1  i
 25381  58.65  i
 25382  56.55  i
 25383  56  i
 25385  56.05  i
 25386  55.7  i
 25387  56.4  i
 25388  57.05  i
 25390  56.25  i
 25391  57.15  i
 25392  57.65  i
 25393  55.95  i
 25395  54.4  i
 25396  55.65  i
 25397  56.65  i
 25398  57.2  i
 25400  56.2  i
 25401  55.85  i
 25402  54.6  i
 25403  53.6  i

