
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_1_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 24655 -16.2  i
 24656 -15.55  i
 24657 -16.05  i
 24658 -15.65  i
 24660 -15.15  i
 24661 -15.05  i
 24662 -15.15  i
 24663 -15.1  i
 24665 -14.7  i
 24666 -14.85  i
 24667 -15.4  i
 24668 -15.5  i
 24670 -15.45  i
 24671 -14.5  i
 24672 -14.45  i
 24673 -14.65  i
 24675 -14.25  i
 24676 -14.35  i
 24677 -14.7  i
 24678 -14.75  i
 24680 -14.7  i
 24681 -14  i
 24682 -13.85  i
 24683 -13.9  i
 24685 -14.55  i
 24686 -13.85  i
 24687 -13.95  i
 24688 -13.8  i
 24690 -13.3  i
 24691 -13.5  i
 24692 -13.5  i
 24693 -12.75  i
 24695 -12.4  i
 24696 -13.1  i
 24697 -13.25  i
 24698 -12.55  i
 24700 -13.4  i
 24701 -12.5  i
 24702 -11.75  i
 24703 -12.5  i
 24705 -13.95  i
 24706 -13.4  i
 24707 -12.35  i
 24708 -12.1  i
 24710 -12.15  i
 24711 -13.35  i
 24712 -12.6  i
 24713 -11.3  i
 24715 -12.55  i
 24716 -12.05  i
 24717 -11.9  i
 24718 -12.25  i
 24720 -12.7  i
 24721 -12.75  i
 24722 -13  i
 24723 -12.4  i
 24725 -12.8  i
 24726 -13.45  i
 24727 -12.1  i
 24728 -11.95  i
 24730 -12.3  i
 24731 -12.3  i
 24732 -11.7  i
 24733 -12.2  i
 24735 -12.45  i
 24736 -11.45  i
 24737 -11.75  i
 24738 -12.55  i
 24740 -12.2  i
 24741 -12.2  i
 24742 -12.85  i
 24743 -12.6  i
 24745 -13.4  i
 24746 -12.5  i
 24747 -11.4  i
 24748 -12.65  i
 24750 -12  i
 24751 -12.1  i
 24752 -11.75  i
 24753 -12.4  i
 24755 -12.5  i
 24756 -11.95  i
 24757 -12.75  i
 24758 -12.45  i
 24760 -12.4  i
 24761 -11.8  i
 24762 -11.3  i
 24763 -12.25  i
 24765 -12.35  i
 24766 -12.5  i
 24767 -12.85  i
 24768 -12.9  i
 24770 -12.1  i
 24771 -11.85  i
 24772 -11.1  i
 24773 -10.7  i
 24775 -11.45  i
 24776 -10.5  i
 24777 -10.75  i
 24778 -11.35  i
 24780 -10.7  i
 24781 -10.9  i
 24782 -12.05  i
 24783 -12.35  i
 24785 -11.95  i
 24786 -11.75  i
 24787 -11.05  i
 24788 -10.5  i
 24790 -10.45  i
 24791 -11  i
 24792 -11.5  i
 24793 -11.25  i
 24795 -10.45  i
 24796 -9.35  i
 24797 -10.6  i
 24798 -10  i
 24800 -8.75  i
 24801 -7.75  i
 24802 -5.25  i
 24803 -2.25  i
 24805 -0.1  i
 24806  4.25  i
 24807  9.25  i
 24808  15.75  i
 24810  26.5  i
 24811  43.75  i
 24812  70.15  i
 24813  110.05  i
 24815  163.8  i
 24816  228.4  i
 24817  301.75  i
 24818  385.95  i
 24820  474.8  i
 24821  560.6  i
 24822  642.75  i
