
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_7_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 24655 -21.7  i
 24656 -21.9  i
 24657 -21.85  i
 24658 -21.2  i
 24660 -21.75  i
 24661 -21.7  i
 24662 -21.2  i
 24663 -20.3  i
 24665 -21.2  i
 24666 -20.6  i
 24667 -20.95  i
 24668 -20.6  i
 24670 -19.85  i
 24671 -20.65  i
 24672 -21.4  i
 24673 -21.2  i
 24675 -20.4  i
 24676 -20.45  i
 24677 -20.25  i
 24678 -19.85  i
 24680 -19.85  i
 24681 -20.35  i
 24682 -20.65  i
 24683 -19.35  i
 24685 -19.25  i
 24686 -19.55  i
 24687 -19.9  i
 24688 -19.2  i
 24690 -19.15  i
 24691 -18.65  i
 24692 -18.35  i
 24693 -19.05  i
 24695 -19.8  i
 24696 -18.9  i
 24697 -19.2  i
 24698 -18.5  i
 24700 -19.35  i
 24701 -19.2  i
 24702 -20.15  i
 24703 -19.45  i
 24705 -19.75  i
 24706 -19.95  i
 24707 -19.3  i
 24708 -19.35  i
 24710 -19.3  i
 24711 -19.3  i
 24712 -19.65  i
 24713 -19.05  i
 24715 -18.95  i
 24716 -19.3  i
 24717 -18.9  i
 24718 -19.2  i
 24720 -19.45  i
 24721 -20  i
 24722 -20  i
 24723 -19.5  i
 24725 -20.2  i
 24726 -19.8  i
 24727 -19.3  i
 24728 -19.55  i
 24730 -18.95  i
 24731 -19.2  i
 24732 -20.2  i
 24733 -20.05  i
 24735 -19.55  i
 24736 -19.65  i
 24737 -19.55  i
 24738 -20.15  i
 24740 -20.5  i
 24741 -19.75  i
 24742 -19.8  i
 24743 -19.75  i
 24745 -19.9  i
 24746 -19.65  i
 24747 -19.4  i
 24748 -19.15  i
 24750 -19.25  i
 24751 -20.3  i
 24752 -19.6  i
 24753 -18.9  i
 24755 -19.4  i
 24756 -19  i
 24757 -20.1  i
 24758 -19.15  i
 24760 -18.85  i
 24761 -19.05  i
 24762 -19.4  i
 24763 -19.35  i
 24765 -19.9  i
 24766 -18.95  i
 24767 -18.6  i
 24768 -19.55  i
 24770 -19.6  i
 24771 -18.35  i
 24772 -18.65  i
 24773 -19.55  i
 24775 -19.2  i
 24776 -18.3  i
 24777 -18.55  i
 24778 -18.95  i
 24780 -18.7  i
 24781 -18.4  i
 24782 -18.1  i
 24783 -17.35  i
 24785 -17.2  i
 24786 -18.1  i
 24787 -18.25  i
 24788 -18.6  i
 24790 -18.8  i
 24791 -18.55  i
 24792 -19.15  i
 24793 -18.9  i
 24795 -19.35  i
 24796 -19.85  i
 24797 -19.2  i
 24798 -19.5  i
 24800 -19.25  i
 24801 -19.45  i
 24802 -19.6  i
 24803 -19.8  i
 24805 -19.4  i
 24806 -19.4  i
 24807 -19.6  i
 24808 -19.7  i
 24810 -18.6  i
 24811 -18.25  i
 24812 -16.55  i
 24813 -14.4  i
