#time   b1   b2   b3
-332.370000   0.000000   0.000000   0.000000
-331.870000   0.000000   0.000000   0.000000
-330.870000   0.000000   0.000000   0.000000
-328.870000   0.000000   0.000000   0.000000
-324.870000   0.000000   0.000000   0.000000
-319.870000   0.000000   0.000000   0.000000
-314.870000   0.000000   0.000000   0.000000
-309.870000   0.000000   0.000000   0.000000
-304.870000   0.000000   0.000000   0.000000
-299.870000   0.000000   0.000000   0.000000
-294.870000   0.000000   0.000000   0.000000
-289.870000   0.000000   0.000000   0.000000
-284.870000   0.000000   0.000000   0.000000
-279.870000   0.000000   0.000000   0.000000
-274.870000   0.000000   0.000000   0.000000
-269.870000   0.000000   0.000000   0.000000
-264.870000   0.000000   0.000000   0.000000
-259.870000   0.000000   0.000000   0.000000
-254.870000   0.000000   0.000000   0.000000
-249.870000   0.000000   0.000000   0.000000
-244.870000   0.000000   0.000000   0.000000
-239.870000   0.000000   0.000000   0.000000
-234.870000   0.000000   0.000000   0.000000
-229.870000   0.000000   0.000000   0.000000
-224.870000   0.000000   0.000000   0.000000
-219.870000   0.000000   0.000000   0.000000
-214.870000   0.000000   0.000000   0.000000
-209.870000   0.000000   0.000000   0.000000
-204.870000   0.000000   0.000000   0.000000
-199.870000   0.000000   0.000000   0.000000
-194.870000   0.000000   0.000000   0.000000
-189.870000   0.000000   0.000000   0.000000
-184.870000   0.000000   0.000000   0.000000
-179.870000   0.000000   0.000000   0.000000
-174.870000   0.000000   0.000000   0.000000
-169.870000   0.000000   0.000000   0.000000
-164.870000   0.000000   0.000000   0.000000
-159.870000   0.000000   0.000000   0.000000
-154.870000   0.000000   0.000000   0.000000
-149.870000   0.000000   0.000000   0.000000
-144.870000   0.000000   0.000000   0.000000
-139.870000   0.000000   0.000000   0.000000
-134.870000   0.000000   0.000000   0.000000
-132.370000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.360000   0.000000   0.000000   0.000000
-132.350000   0.000000   0.000000   0.000000
-132.350000   0.000000   0.000000   0.000000
-132.350000   0.000000   0.000000   0.000000
-132.350000   0.000000   0.000000   0.000000
-132.340000   0.000000   0.000000   0.000000
-132.340000   0.000000   0.000000   0.000000
-132.340000   0.000000   0.000000   0.000000
-132.340000   0.000000   0.000000   0.000000
-132.330000   0.000000   0.000000   0.000000
-132.330000   0.000000   0.000000   0.000000
-132.330000   0.000000   0.000000   0.000000
-132.320000   0.000000   0.000000   0.000000
-132.320000   0.000000   0.000000   0.000000
-132.310000   0.000000   0.000000   0.000000
-132.310000   0.000000   0.000000   0.000000
-132.300000   0.000000   0.000000   0.000000
-132.300000   0.000000   0.000000   0.000000
-132.290000   0.000000   0.000000   0.000000
-132.280000   0.000000   0.000000   0.000000
-132.280000   0.000000   0.000000   0.000000
-132.270000   0.000000   0.000000   0.000000
-132.260000   0.000000   0.000000   0.000000
-132.250000   0.000000   0.000000   0.000000
-132.240000   0.000000   0.000000   0.000000
-132.230000   0.000000   0.000000   0.000000
-132.220000   0.000000   0.000000   0.000000
-132.200000   0.000000   0.000000   0.000000
-132.190000   0.000000   0.000000   0.000000
-132.170000   0.000000   0.000000   0.000000
-132.160000   0.000000   0.000000   0.000000
-132.140000   0.000000   0.000000   0.000000
-132.120000   0.000000   0.000000   0.000000
-132.100000   0.000000   0.000000   0.000000
-132.070000   0.000000   0.000000   0.000000
-132.050000   0.000000   0.000000   0.000000
-132.020000   0.000000   0.000000   0.000000
-131.990000   0.000000   0.000000   0.000000
-131.960000   0.000000   0.000000   0.000000
-131.920000   0.000000   0.000000   0.000000
-131.890000   0.000000   0.000000   0.000000
-131.840000   0.000000   0.000000   0.000000
-131.800000   0.000000   0.000000   0.000000
-131.750000   0.000000   0.000000   0.000000
-131.700000   0.000000   0.000000   0.000000
-131.640000   0.000000   0.000000   0.000000
-131.580000   0.000000   0.000000   0.000000
-131.500000   0.000000   0.000000   0.000000
-131.430000   0.000000   0.000000   0.000000
-131.340000   0.000000   0.000000   0.000000
-131.250000   0.000000   0.000000   0.000000
-131.140000   0.000000   0.000000   0.000000
-131.040000   0.000000   0.000000   0.000000
-130.910000   0.000000   0.000000   0.000000
-130.770000   0.000000   0.000000   0.000000
-130.610000   0.000000   0.000000   0.000000
-130.430000   0.000000   0.000000   0.000000
-130.220000   0.000000   0.000000   0.000000
-129.980000   0.000000   0.000000   0.000000
-129.710000   0.000000   0.000000   0.000000
-129.380000   0.000000   0.000000   0.000000
-129.000000   0.000000   0.000000   0.000000
-128.530000   0.000000   0.000000   0.000000
-127.930000   0.000000   0.000000   0.000000
-127.140000   0.000000   0.000000   0.000000
-126.260000   0.000000   0.000000   0.000000
-125.260000   0.000000   0.000000   0.000000
-124.130000   0.000000   0.000000   0.000000
-123.010000   0.000000   0.000000   0.000000
-122.370000   0.000000   0.000000   0.000000
-122.240000   0.000000   0.000000   0.000000
-121.980000   0.000000   0.000000   0.000000
-121.510000   0.000000   0.000000   0.000000
-120.950000   0.000000   0.000000   0.000000
-120.250000   0.000000   0.000000   0.000000
-119.460000   0.000000   0.000000   0.000000
-118.500000   0.000000   0.000000   0.000000
-117.270000   0.000000   0.000000   0.000000
-115.900000   0.000000   0.000000   0.000000
-114.370000   0.000000   0.000000   0.000000
-112.670000   0.000000   0.000000   0.000000
-110.960000   0.000000   0.000000   0.000000
-109.010000   0.000000   0.000000   0.000000
-107.370000   0.000000   0.000000   0.000000
-107.170000   0.000000   0.000000   0.000000
-106.780000   0.000000   0.000000   0.000000
-106.000000   0.000000   0.000000   0.000000
-105.010000   0.000000   0.000000   0.000000
-103.740000   0.000000   0.000000   0.000000
-102.260000   0.000000   0.000000   0.000000
-100.330000   0.000000   0.000000   0.000000
-98.720000   0.000000   0.000000   0.000000
-97.110000   0.000000   0.000000   0.000000
-95.720000   0.000000   0.000000   0.000000
-94.330000   0.000000   0.000000   0.000000
-92.940000   0.000000   0.000000   0.000000
-91.550000   0.000000   0.000000   0.000000
-90.160000   0.000000   0.000000   0.000000
-88.770000   0.000000   0.000000   0.000000
-87.380000   0.000000   0.000000   0.000000
-85.990000   0.000000   0.000000   0.000000
-84.600000   0.000000   0.000000   0.000000
-83.210000   0.000000   0.000000   0.000000
-81.630000   0.000000   0.000000   0.000000
-80.060000   0.000000   0.000000   0.000000
-78.480000   0.000000   0.000000   0.000000
-76.680000   0.000000   0.000000   0.000000
-74.890000   0.000000   0.000000   0.000000
-72.890000   0.000000   0.000000   0.000000
-70.890000   0.000000   0.000000   0.000000
-70.840000   0.000000   0.000000   0.000000
-70.830000   0.000000   0.000000   0.000000
-70.830000   0.000000   0.000000   0.000000
-70.820000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.800000   0.000000   0.000000   0.000000
-70.790000   0.000000   0.000000   0.000000
-70.790000   0.000000   0.000000   0.000000
-70.790000   0.000000   0.000000   0.000000
-70.790000   0.000000   0.000000   0.000000
-70.790000   0.000000   0.000000   0.000000
-70.790000   0.000000   0.000000   0.000000
-70.780000   0.000000   0.000000   0.000000
-70.780000   0.000000   0.000000   0.000000
-70.780000   0.000000   0.000000   0.000000
-70.780000   0.000000   0.000000   0.000000
-70.780000   0.000000   0.000000   0.000000
-70.780000   0.000000   0.000000   0.000000
-70.770000   0.000000   0.000000   0.000000
-70.770000   0.000000   0.000000   0.000000
-70.760000   0.000000   0.000000   0.000000
-70.760000   0.000000   0.000000   0.000000
-70.750000   0.000000   0.000000   0.000000
-70.740000   0.000000   0.000000   0.000000
-70.730000   0.000000   0.000000   0.000000
-70.720000   0.000000   0.000000   0.000000
-70.710000   0.000000   0.000000   0.000000
-70.700000   0.000000   0.000000   0.000000
-70.680000   0.000000   0.000000   0.000000
-70.670000   0.000000   0.000000   0.000000
-70.660000   0.000000   0.000000   0.000000
-70.650000   0.000000   0.000000   0.000000
-70.630000   0.000000   0.000000   0.000000
-70.620000   0.000000   0.000000   0.000000
-70.610000   0.000000   0.000000   0.000000
-70.590000   0.000000   0.000000   0.000000
-70.580000   0.000000   0.000000   0.000000
-70.560000   0.000000   0.000000   0.000000
-70.550000   0.000000   0.000000   0.000000
-70.530000   0.000000   0.000000   0.000000
-70.510000   0.000000   0.000000   0.000000
-70.490000   0.000000   0.000000   0.000000
-70.470000   0.000000   0.000000   0.000000
-70.460000   0.000000   0.000000   0.000000
-70.440000   0.000000   0.000000   0.000000
-70.410000   0.000000   0.000000   0.000000
-70.390000   0.000000   0.000000   0.000000
-70.370000   0.000000   0.000000   0.000000
-70.350000   0.000000   0.000000   0.000000
-70.320000   0.000000   0.000000   0.000000
-70.300000   0.000000   0.000000   0.000000
-70.270000   0.000000   0.000000   0.000000
-70.240000   0.000000   0.000000   0.000000
-70.210000   0.000000   0.000000   0.000000
-70.180000   0.000000   0.000000   0.000000
-70.150000   0.000000   0.000000   0.000000
-70.120000   0.000000   0.000000   0.000000
-70.090000   0.000000   0.000000   0.000000
-70.050000   0.000000   0.000000   0.000000
-70.010000   0.000000   0.000000   0.000000
-69.980000   0.000000   0.000000   0.000000
-69.940000   0.000000   0.000000   0.000000
-69.890000   0.000000   0.000000   0.000000
-69.850000   0.000000   0.000000   0.000000
-69.800000   0.000000   0.000000   0.000000
-69.750000   0.000000   0.000000   0.000000
-69.700000   0.000000   0.000000   0.000000
-69.650000   0.000000   0.000000   0.000000
-69.590000   0.000000   0.000000   0.000000
-69.530000   0.000000   0.000000   0.000000
-69.470000   0.000000   0.000000   0.000000
-69.400000   0.000000   0.000000   0.000000
-69.330000   0.000000   0.000000   0.000000
-69.250000   0.000000   0.000000   0.000000
-69.180000   0.000000   0.000000   0.000000
-69.090000   0.000000   0.000000   0.000000
-69.010000   0.000000   0.000000   0.000000
-68.910000   0.000000   0.000000   0.000000
-68.820000   0.000000   0.000000   0.000000
-68.710000   0.000000   0.000000   0.000000
-68.600000   0.000000   0.000000   0.000000
-68.480000   0.000000   0.000000   0.000000
-68.360000   0.000000   0.000000   0.000000
-68.220000   0.000000   0.000000   0.000000
-68.080000   0.000000   0.000000   0.000000
-67.920000   0.000000   0.000000   0.000000
-67.760000   0.000000   0.000000   0.000000
-67.580000   0.000000   0.000000   0.000000
-67.390000   0.000000   0.000000   0.000000
-67.170000   0.000000   0.000000   0.000000
-66.950000   0.000000   0.000000   0.000000
-66.680000   0.000000   0.000000   0.000000
-66.420000   0.000000   0.000000   0.000000
-66.090000   0.000000   0.000000   0.000000
-65.720000   0.000000   0.000000   0.000000
-65.300000   0.000000   0.000000   0.000000
-64.790000   0.000000   0.000000   0.000000
-64.180000   0.000000   0.000000   0.000000
-63.780000   0.000000   0.000000   0.000000
-62.970000   0.000000   0.000000   0.000000
-62.460000   0.000000   0.000000   0.000000
-61.450000   0.000000   0.000000   0.000000
-60.440000   0.000000   0.000000   0.000000
-60.320000   0.000000   0.000000   0.000000
-60.310000   0.000000   0.000000   0.000000
-60.310000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.300000   0.000000   0.000000   0.000000
-60.290000   0.000000   0.000000   0.000000
-60.290000   0.000000   0.000000   0.000000
-60.290000   0.000000   0.000000   0.000000
-60.290000   0.000000   0.000000   0.000000
-60.290000   0.000000   0.000000   0.000000
-60.290000   0.000000   0.000000   0.000000
-60.290000   0.000000   0.000000   0.000000
-60.290000   0.000000   0.000000   0.000000
-60.280000   0.000000   0.000000   0.000000
-60.280000   0.000000   0.000000   0.000000
-60.280000   0.000000   0.000000   0.000000
-60.280000   0.000000   0.000000   0.000000
-60.270000   0.000000   0.000000   0.000000
-60.270000   0.000000   0.000000   0.000000
-60.260000   0.000000   0.000000   0.000000
-60.250000   0.000000   0.000000   0.000000
-60.240000   0.000000   0.000000   0.000000
-60.230000   0.000000   0.000000   0.000000
-60.220000   0.000000   0.000000   0.000000
-60.210000   0.000000   0.000000   0.000000
-60.200000   0.000000   0.000000   0.000000
-60.190000   0.000000   0.000000   0.000000
-60.180000   0.000000   0.000000   0.000000
-60.160000   0.000000   0.000000   0.000000
-60.150000   0.000000   0.000000   0.000000
-60.140000   0.000000   0.000000   0.000000
-60.130000   0.000000   0.000000   0.000000
-60.110000   0.000000   0.000000   0.000000
-60.100000   0.000000   0.000000   0.000000
-60.080000   0.000000   0.000000   0.000000
-60.070000   0.000000   0.000000   0.000000
-60.050000   0.000000   0.000000   0.000000
-60.030000   0.000000   0.000000   0.000000
-60.010000   0.000000   0.000000   0.000000
-60.000000   0.000000   0.000000   0.000000
-59.980000   0.000000   0.000000   0.000000
-59.960000   0.000000   0.000000   0.000000
-59.940000   0.000000   0.000000   0.000000
-59.910000   0.000000   0.000000   0.000000
-59.890000   0.000000   0.000000   0.000000
-59.870000   0.000000   0.000000   0.000000
-59.840000   0.000000   0.000000   0.000000
-59.820000   0.000000   0.000000   0.000000
-59.790000   0.000000   0.000000   0.000000
-59.760000   0.000000   0.000000   0.000000
-59.740000   0.000000   0.000000   0.000000
-59.710000   0.000000   0.000000   0.000000
-59.680000   0.000000   0.000000   0.000000
-59.640000   0.000000   0.000000   0.000000
-59.610000   0.000000   0.000000   0.000000
-59.570000   0.000000   0.000000   0.000000
-59.540000   0.000000   0.000000   0.000000
-59.500000   0.000000   0.000000   0.000000
-59.460000   0.000000   0.000000   0.000000
-59.420000   0.000000   0.000000   0.000000
-59.380000   0.000000   0.000000   0.000000
-59.330000   0.000000   0.000000   0.000000
-59.280000   0.000000   0.000000   0.000000
-59.230000   0.000000   0.000000   0.000000
-59.180000   0.000000   0.000000   0.000000
-59.120000   0.000000   0.000000   0.000000
-59.060000   0.000000   0.000000   0.000000
-59.000000   0.000000   0.000000   0.000000
-58.940000   0.000000   0.000000   0.000000
-58.870000   0.000000   0.000000   0.000000
-58.790000   0.000000   0.000000   0.000000
-58.720000   0.000000   0.000000   0.000000
-58.640000   0.000000   0.000000   0.000000
-58.550000   0.000000   0.000000   0.000000
-58.460000   0.000000   0.000000   0.000000
-58.370000   0.000000   0.000000   0.000000
-58.260000   0.000000   0.000000   0.000000
-58.160000   0.000000   0.000000   0.000000
-58.040000   0.000000   0.000000   0.000000
-57.920000   0.000000   0.000000   0.000000
-57.790000   0.000000   0.000000   0.000000
-57.650000   0.000000   0.000000   0.000000
-57.500000   0.000000   0.000000   0.000000
-57.340000   0.000000   0.000000   0.000000
-57.160000   0.000000   0.000000   0.000000
-56.980000   0.000000   0.000000   0.000000
-56.770000   0.000000   0.000000   0.000000
-56.560000   0.000000   0.000000   0.000000
-56.300000   0.000000   0.000000   0.000000
-56.050000   0.000000   0.000000   0.000000
-55.730000   0.000000   0.000000   0.000000
-55.390000   0.000000   0.000000   0.000000
-54.980000   0.000000   0.000000   0.000000
-54.520000   0.000000   0.000000   0.000000
-53.950000   0.000000   0.000000   0.000000
